player_name,opponent_name,w_or_l,tourney_date,tourney_id,tourney_name,1in_sp,1w_sp,2w_sp,1w_rp,2w_rp,t_sp,t_rp,avg_1w_sp,avg_t_rp,avg_t_sp,avg_t_sp_365,1w_sp_comp,t_sp_comp,t_rp_comp
Novak Djokovic,Roger Federer,0,2006-04-17,2006-410,Monte Carlo Masters,0.6489,0.5902,0.6552,0.2821,0.3824,0.5851,0.1781,0.5902,0.1781,0.5851,0.6368857150000002,0.0,0.0,0.0
Novak Djokovic,Roger Federer,0,2007-01-15,2007-580,Australian Open,0.6139,0.6129,0.4865,0.2,0.3103,0.5545,0.125,0.70265,0.23515,0.657725,0.6566590520689654,-0.08975,-0.10322500000000001,-0.11015
Novak Djokovic,Roger Federer,0,2007-02-26,2007-495,Dubai,0.6429,0.6667,0.5484,0.2581,0.4054,0.602,0.16,0.72606667,0.1724,0.65916667,0.6598000001666661,-0.059366670000000066,-0.057166669999999975,-0.012399999999999994
Novak Djokovic,Roger Federer,1,2007-08-05,2007-421,Canada Masters,0.6563,0.6984,0.6333,0.2319,0.5625,0.6563,0.1863,0.79582,0.18836,0.7319,0.660570270135135,-0.09741999999999995,-0.0756,-0.0020600000000000063
Novak Djokovic,Roger Federer,0,2007-08-27,2007-560,US Open,0.5517,0.7031,0.6444,0.2121,0.3056,0.6379,0.1415,0.76915714,0.19321429,0.69665714,0.6657830685185187,-0.06605714000000007,-0.058757139999999985,-0.051714290000000024
Novak Djokovic,Roger Federer,1,2008-01-14,2008-580,Australian Open,0.6814,0.7792,0.5,0.2941,0.5385,0.6637,0.211,0.77135714,0.23915714,0.69165714,0.6608956596202534,0.007842860000000007,-0.027957140000000047,-0.028157139999999997
Novak Djokovic,Roger Federer,0,2008-04-20,2008-410,Monte Carlo Masters,0.5968,0.5946,0.4545,0.1818,0.5,0.5161,0.2381,0.70585,0.28055,0.6612,0.6651736838157895,-0.11124999999999996,-0.1451,-0.042450000000000015
Novak Djokovic,Roger Federer,0,2008-08-25,2008-560,US Open,0.6452,0.7125,0.5128,0.2375,0.3864,0.621,0.144,0.73548333,0.19755,0.68911667,0.6810702074999994,-0.02298332999999997,-0.06811666999999999,-0.053550000000000014
Novak Djokovic,Roger Federer,1,2009-03-25,2009-403,Miami Masters,0.6986,0.6863,0.6667,0.4167,0.5357,0.6438,0.2375,0.72585,0.25133333,0.6766,0.6758294117647057,-0.039549999999999974,-0.03279999999999994,-0.013833330000000033
Novak Djokovic,Roger Federer,1,2009-04-27,2009-416,Rome Masters,0.5,0.64,0.6364,0.275,0.5526,0.6,0.2963,0.66514,0.26334,0.60462,0.6716795555555554,-0.02513999999999994,-0.0046200000000000685,0.03295999999999999
